episode,timestep,reward
21180, 385200, 10.3126
21204, 385800, 13.3718
21228, 386400, 13.4153
21254, 387000, 10.4124
21280, 387600, 9.8861
21302, 388200, 11.9305
21327, 388800, 10.3438
21353, 389400, 10.0476
21381, 390000, 10.1641
21405, 390600, 12.5929
21429, 391200, 11.3736
21451, 391800, 16.3482
21473, 392400, 13.8837
21497, 393000, 11.2852
21519, 393600, 14.1767
21539, 394200, 16.378
21562, 394800, 11.8338
21585, 395400, 11.0955
21610, 396000, 7.2331
21630, 396600, 12.6971
21653, 397200, 12.1418
21675, 397800, 13.0839
21697, 398400, 13.0426
21720, 399000, 10.5098
21743, 399600, 13.7044
21765, 400200, 14.3849
21788, 400800, 11.683
21809, 401400, 13.1352
21835, 402000, 5.8143
21858, 402600, 8.7615
21881, 403200, 11.2808
21902, 403800, 12.6235
21923, 404400, 12.2933
21945, 405000, 12.8642
21967, 405600, 14.9057
21988, 406200, 14.9419
22009, 406800, 13.2226
22030, 407400, 14.8219
22052, 408000, 14.0314
22074, 408600, 12.758
22096, 409200, 14.8904
22117, 409800, 17.2917
22139, 410400, 12.5722
22162, 411000, 11.9516
22183, 411600, 15.14
22205, 412200, 13.2991
22227, 412800, 13.6239
22251, 413400, 11.3729
22274, 414000, 11.3721
22296, 414600, 10.4424
22320, 415200, 11.9835
22341, 415800, 12.7907
22361, 416400, 16.9406
22384, 417000, 11.8306
22407, 417600, 13.7189
22426, 418200, 14.9913
22447, 418800, 14.0043
22467, 419400, 15.9189
22488, 420000, 14.6352
22510, 420600, 13.1581
22530, 421200, 18.5315
22550, 421800, 17.1871
22570, 422400, 18.1208
22594, 423000, 13.68
22616, 423600, 15.0865
22638, 424200, 12.6741
22661, 424800, 14.1059
22685, 425400, 11.5755
22708, 426000, 12.1207
22728, 426600, 17.748
22748, 427200, 15.632
22770, 427800, 9.086
22792, 428400, 14.2196
22813, 429000, 16.393
22836, 429600, 12.8728
22857, 430200, 15.92
22878, 430800, 14.461
22903, 431400, 10.7197
22924, 432000, 14.5817
22944, 432600, 15.7263
22965, 433200, 16.9363
22987, 433800, 14.3157
23008, 434400, 15.9376
23029, 435000, 11.4353
23053, 435600, 11.6633
23073, 436200, 13.8734
23095, 436800, 12.0729
23118, 437400, 10.3137
23138, 438000, 16.6122
23160, 438600, 14.8174
23181, 439200, 12.5326
23203, 439800, 16.5683
23224, 440400, 16.7287
23243, 441000, 17.1101
23266, 441600, 12.021
23287, 442200, 17.1674
23310, 442800, 14.1262
23330, 443400, 18.0645
23351, 444000, 14.6892
23372, 444600, 15.4026
23391, 445200, 17.8804
23411, 445800, 18.0077
23432, 446400, 14.9966
23454, 447000, 11.1334
23475, 447600, 14.0487
23496, 448200, 16.4653
23518, 448800, 15.006
23541, 449400, 12.3694
23563, 450000, 13.1405
23585, 450600, 11.8976
23606, 451200, 15.2511
23626, 451800, 11.9444
23649, 452400, 11.5747
23669, 453000, 16.6833
23689, 453600, 17.0426
23709, 454200, 16.0153
23729, 454800, 14.945
23751, 455400, 16.1765
23770, 456000, 15.6256
23794, 456600, 11.1378
23817, 457200, 10.893
23839, 457800, 15.4695
23860, 458400, 12.2458
23884, 459000, 14.2769
23904, 459600, 16.1609
23926, 460200, 14.2021
23946, 460800, 16.7146
23968, 461400, 14.0894
23993, 462000, 13.326
24017, 462600, 11.3137
24036, 463200, 16.9982
24055, 463800, 15.5476
24076, 464400, 14.7588
24098, 465000, 15.6123
24121, 465600, 13.8296
24143, 466200, 13.6139
24166, 466800, 12.6596
24189, 467400, 14.18
24210, 468000, 17.7858
24233, 468600, 14.1777
24252, 469200, 20.0108
24276, 469800, 13.5113
24297, 470400, 16.2625
24318, 471000, 17.0579
24340, 471600, 17.1029
24361, 472200, 19.1082
24382, 472800, 17.3578
24404, 473400, 16.8484
24424, 474000, 17.9363
24443, 474600, 17.6102
24465, 475200, 15.6522
24485, 475800, 15.9868
24507, 476400, 16.0225
24531, 477000, 11.2505
24551, 477600, 18.0182
24571, 478200, 17.7342
24594, 478800, 14.6747
24617, 479400, 12.4111
24639, 480000, 17.2713
24660, 480600, 15.7683
24681, 481200, 16.249
24702, 481800, 16.0073
24724, 482400, 18.0875
24747, 483000, 13.0836
24768, 483600, 15.4741
24792, 484200, 15.0042
24813, 484800, 15.1963
24837, 485400, 13.5559
24862, 486000, 11.0195
24883, 486600, 15.2184
24906, 487200, 12.9862
24928, 487800, 16.0874
24951, 488400, 16.1448
24972, 489000, 13.9658
24995, 489600, 13.6419
25018, 490200, 14.2605
25038, 490800, 15.0023
25060, 491400, 13.3987
25083, 492000, 13.2107
25104, 492600, 17.2049
25124, 493200, 17.8219
25144, 493800, 17.1764
25165, 494400, 17.7174
25189, 495000, 12.2939
25211, 495600, 14.5205
25232, 496200, 15.2817
25253, 496800, 16.4866
25272, 497400, 19.5249
25294, 498000, 15.1852
25315, 498600, 16.8774
25337, 499200, 17.2492
25359, 499800, 16.1641
25379, 500400, 15.1894
25398, 501000, 19.1022
25418, 501600, 17.468
25439, 502200, 14.2958
25459, 502800, 18.3796
25478, 503400, 21.8988
25497, 504000, 21.6227
25517, 504600, 15.5856
25537, 505200, 21.4238
25560, 505800, 16.4637
25578, 506400, 21.8928
25597, 507000, 20.6926
25615, 507600, 17.2582
25637, 508200, 17.6162
25656, 508800, 17.3008
25676, 509400, 17.0573
25695, 510000, 19.3146
25716, 510600, 16.9072
25737, 511200, 16.1526
25758, 511800, 16.6343
25778, 512400, 19.1042
25797, 513000, 18.3624
25818, 513600, 18.6123
25838, 514200, 15.4907
25858, 514800, 18.8155
25879, 515400, 17.3631
25898, 516000, 19.117
25919, 516600, 15.0567
25938, 517200, 19.3172
25958, 517800, 20.0685
25977, 518400, 20.741
25997, 519000, 12.8765
26017, 519600, 19.4779
26038, 520200, 16.4778
26057, 520800, 20.109
26077, 521400, 18.0466
26097, 522000, 16.3881
26117, 522600, 17.4764
26136, 523200, 17.9278
26157, 523800, 12.6607
26177, 524400, 19.4321
26198, 525000, 16.3048
26217, 525600, 21.101
26236, 526200, 18.3386
26258, 526800, 11.2679
26277, 527400, 20.6264
26296, 528000, 20.7323
26315, 528600, 18.0664
26333, 529200, 20.0814
26354, 529800, 17.4122
26375, 530400, 16.1303
26394, 531000, 16.23
26414, 531600, 19.266
26435, 532200, 16.6147
26454, 532800, 19.8828
26474, 533400, 19.9901
26494, 534000, 18.5424
26514, 534600, 19.7622
26535, 535200, 17.997
26556, 535800, 16.4504
26576, 536400, 19.2741
26599, 537000, 13.6195
26619, 537600, 18.867
26638, 538200, 18.5175
26660, 538800, 16.6639
26682, 539400, 15.0807
26701, 540000, 17.2686
26722, 540600, 18.2367
26741, 541200, 19.3543
26762, 541800, 19.05
26781, 542400, 19.172
26800, 543000, 20.3464
26819, 543600, 17.9396
26837, 544200, 21.5237
26857, 544800, 19.1008
26878, 545400, 20.1538
26896, 546000, 21.6522
26916, 546600, 21.334
26935, 547200, 18.5661
26957, 547800, 16.0702
26976, 548400, 22.4131
26997, 549000, 18.2833
27018, 549600, 16.1911
27036, 550200, 22.3533
27056, 550800, 18.3293
27074, 551400, 20.4231
27095, 552000, 16.631
27115, 552600, 17.2583
